sentence,y_pred
"В его библиотеке имелась вышедшая позд- нее книга М. И. Грпневпча «О тлетворном влиянпп евреев на экономический быт России и о системе еврейской эксплоатацип» (СПб., 1876) (Библиотека, стр. 159;",neutral
"ХХ1Х 2, 165, 348 Мамонтова-Мельчакова, жительница Семипалатинска — X X V I I I ^ 473 Манасеин В. А. — X X X , , 318 Манго, педагог — IX, 130 , 521—522 Мандельштам Л. И. — «В защиту евреев» — X X V , 388 Мандерштерн, барон, родственник А. Е. Врангеля — X X V I I I l t 514 Мане Э. — «Испуганная нимфа» — X I X , 157, 323—324 «Манифест тайного братства „Черный передел""» (прокламация) — X X V I I , 310 Манн Т. - VII, 362;",negative
Но всё же это пока ничего не изменяет; зато верхушка евреев воцаряется над чело- вечеством всё сильнее и тверже и стремится дать миру свой об- лик и свою суть.,neutral
"— Биконсфильд (Дизраэли) Бенджамен (1804— 1881), с 1876 г. лорд — английский политический деятель, сторонник партии тори (аристократов-землевладельцев), романист, потомок испанских евреев, бежавших в Англию от инквизиции.",neutral
"Там было несколько евреев — и никто не презирал их, никто не исключал их, не гнал их.",neutral
"Там было несколько евреев — и никто не презирал их, никто не исключал их, не гнал их.",neutral
"Но в Статейных списках сказано, что Исай Бумштель, мещанин из евреев, 283",neutral
"Но ведь, конечно, все эти негры и литовцы еще беднее евреев, выжимающих из них соки, а ведь те (про- чтите-ка корреспонденцию) гнушаются такой торговлей, на кото- рую так падок еврей; во-вторых, не трудно быть гуманным и4 нравственным, когда самому жирно и весело, а чуть «борьба за существование», так и не подходи ко мне близко.",neutral
"Но восемьдесят миллионов (те- перь считают уже девяносто или за девяносто) составляют цифру населения русской империи, а вовсе не русского народа, владеющего идеалами; в вось- мидесяти или девяноста миллионах заключено, кроме русской, множество иных народностей, кроме православных — миллионы католиков, протестан- тов, евреев, магометан, сотни тысяч язычников.",neutral
"Далее следовал отмеченный писателем текст: «. . .люблю евреев не как свой народ, не как еврейская патриотка, а как того из двух противников, который значительно слабее, а следовательно, и значительно правее и несчастнее.",neutral
