Sentence,y_true
"И это вяжется как-то с христианством, а я до сих пор думал, что 
для христианского бога несть эллин, ни иудей.",Neutral
"В первой комнате из прихожей стояла толпа, человек 
даже до тридцати; из них наполовину торгующихся, а другие, по 
виду их, были или любопытные, или любители, или подосланные 
от Лебрехт; были и купцы, и жиды, зарившиеся на золотые вещи, 
п несколько человек из одетых «чисто»; Даже физиономии иных 
из этих господ врезались в моей памяти.",Negative
"Мало того, еще в Москве, может быть с самого первого дня 
«идеи», порешил, что ни закладчиком, ни процентщиком тоже не 
буду: на это есть жиды да те из русских, у кого ни ума, ни харак-
тера.",Negative
"Недостает, чтобы железнодорожник аль 
жид проехали и девушек пытали: эти всех бы победили.",Negative
"— Цыган теперь вовсе не слышно, Дмитрий Федорович, сог-
зо иало начальство, а вот жиды здесь есть, на цимбалах играют и на 
скрипках, в Рождественской, так это можно бы за ними хоша и 
теперь послать.",Negative
"— Вот у меня одна книга, я читала про какой-то где-то суд, 
и что жид четырехлетнему мальчику сначала все пальчики обре-
зал на обеих ручках, а потом распял на стене, прибил гвоздями 
и распял, а потом на суде сказал, что мальчик умер скоро, чрез 
четыре часа.",Negative
"Назы-
вая последний роман Достоевского его «величайшим творением», жид го-
ворит о том, что герои русского писателя обращены к современности: «Нет 
ничего более постоянно сущего, чем эти потрясающие образы, 
которые 
ни 
разу не изменяют своей настоятельной реальности».",Negative
"Алеша, правда ли, что 
жиды на пасху детей крадут и режут?",Negative
Везде жид появился.,Negative
"жид — юнкер, 
произведен 
в офицеры — не вижу 
ничего 
прекрасного и умилительного в таком высшем либерализме.",Negative
Юнкер-жид — зачем я обиделся.,Negative
") (Еврей-офицер— к этому 
надо привыкнуть.",Neutral
Еврей в офицеры.,Negative
"Еврей-офицер 
— к этому 
надо 
привыкнуть.",Neutral
"жид развертывает, и пан покупает всё, 
что жидку продать захотелось.",Negative
"Шпилевского (псевдоним: «Знакомый человек») «За­
паднорусские жиды и их современное положение» (1858, № 35), вызвавшая 
волну протестов в печати.",Negative
